"","repl","perform","vol","proportion"
"1",1,0.5,13.5258872898947,0.882729792199431
"2",2,0.5,12.4685923056838,0.813728346179448
"3",3,0.5,12.1388076844193,0.792205860891786
"4",4,0.2,11.917545466219,0.777765791437747
"5",5,0.3,12.1557722759811,0.793313008250261
"6",6,0.6,14.4015305911969,0.939876241288709
"7",7,0.5,12.3516423212769,0.80609592745374
"8",8,0.3,12.1204980938029,0.791010935873286
"9",9,0.3,11.0179672092727,0.719057293370147
"10",10,0.6,14.5994982411074,0.952796054881879
"11",11,0.6,13.4892833445837,0.88034093649292
"12",12,0.5,11.8568901676421,0.773807290382624
"13",13,0.4,10.4208618020388,0.680088853019286
"14",14,0.7,13.5449729378516,0.883975364463482
"15",15,0.3,11.1040395188788,0.724674565667657
"16",16,0.5,12.1621515735532,0.793729335541735
"17",17,0.3,12.4243666594915,0.810842081150288
"18",18,0.4,11.8522183836804,0.773502399265509
"19",19,0.6,14.0106280750546,0.914365064872033
"20",20,0.5,13.0389143223852,0.850948842291797
"21",21,0.5,14.165761476021,0.924489419146418
"22",22,0.4,12.8921936516036,0.841373521689562
"23",23,0.3,10.3686881994073,0.67668388649679
"24",24,0.4,12.1069369578474,0.790125905673976
"25",25,0.9,15.2839183580847,0.997462849354419
"26",26,0.2,10.617912161553,0.692948802180386
"27",27,0.5,12.6631771651145,0.826427391266033
"28",28,0.9,15.1260481330297,0.987159883791384
"29",29,0.6,14.2698752333245,0.931284116853112
"30",30,0.5,13.5185600405108,0.882251599443018
"31",31,0.5,12.5843224402851,0.821281154766295
"32",32,0,8.4249482636583,0.549831051425826
"33",33,0.6,13.1547750160471,0.858510171456256
"34",34,0.4,11.6921560676046,0.763056372917642
"35",35,0.5,14.1333160483545,0.92237195764404
"36",36,0.5,12.496042077642,0.815519779966913
"37",37,0.8,13.5540343011694,0.88456672939113
"38",38,0.6,12.7611371196365,0.832820477977884
"39",39,0.5,12.9630847549474,0.846000034359841
"40",40,0.7,13.4252316609543,0.876160779718847
"41",41,0.4,12.138481638161,0.792184582380462
"42",42,0.4,11.6998709745004,0.763559865074204
"43",43,0.4,11.0347004199483,0.720149340292166
"44",44,0.8,15.2958362833887,0.998240639934924
"45",45,0.2,9.89831161212117,0.645986053648457
"46",46,0.5,13.0513734102454,0.85176195035651
"47",47,0.7,13.8336989385387,0.902818271928744
"48",48,0.6,13.0224136282464,0.849871969921347
"49",49,0.5,11.9356023747311,0.778944225854435
"50",50,0.5,13.8002195071234,0.900633329018699
