"","replicate","perform","tot_suit_pxs","prop_pxs"
"1",1,0.5,82231,0.579928770407983
"2",2,0.4,110955,0.782502909129377
"3",3,0.7,108309,0.763842166507987
"4",4,0.5,99996,0.705215275573892
"5",5,0.8,135988,0.959046510807856
"6",6,0.7,124397,0.877301738425191
"7",7,0.8,142905,1.00782820268698
"8",8,0.9,143778,1.01398497831376
"9",9,0.5,111616,0.787164568567298
"10",10,0.5,122980,0.867308438238302
"11",11,0.6,114100,0.80468281674248
"12",12,0.6,123274,0.869381854085123
"13",13,0.8,136734,0.964307627208294
"14",14,0.8,142393,1.00421735604217
"15",15,0.5,94593,0.667110970062414
"16",16,0.8,117012,0.825219507034804
"17",17,0.7,117052,0.825501604428929
"18",18,0.8,121496,0.856842624916252
"19",19,0.8,111426,0.785824605945203
"20",20,0.9,133367,0.940562079057795
"21",21,0.5,90537,0.638506294298106
"22",22,0.4,86612,0.610825487499559
"23",23,0.9,142074,1.00196762932402
"24",24,0.8,138403,0.976078140978173
"25",25,0.6,126087,0.889220353326986
"26",26,0.7,106188,0.748883952184492
"27",27,0.7,129727,0.91489121619239
"28",28,0.5,105798,0.74613350259177
"29",29,0.9,141350,0.996861666490356
"30",30,0.5,133248,0.939722839310272
"31",31,0.7,102384,0.722056490003174
"32",32,0.5,129175,0.910998272153461
"33",33,0.7,124517,0.878148030607567
"34",34,0.7,141828,1.00023273035015
"35",35,0.2,83885,0.591593497655065
"36",36,0.9,140245,0.989068725977644
"37",37,0.9,131285,0.925878909693572
"38",38,0.5,140645,0.991889699918897
"39",39,0.5,114688,0.808829648436123
"40",40,0.6,101387,0.7150252124546
"41",41,0.5,121932,0.859917486512218
"42",42,0.5,104530,0.737191015197997
"43",43,0.4,110100,0.776473077329948
"44",44,0.3,90035,0.634965972001834
"45",45,0.7,121261,0.855185302725766
"46",46,0.4,110908,0.78217144469128
"47",47,0.6,128194,0.904079833562538
"48",48,0.7,124054,0.874882753270567
"49",49,0.6,126173,0.889826862724356
"50",50,0.6,139517,0.983934553404563
