"","repl","ev_long","ev_lat","perform","suit_pxls","proportion"
"1",1,-80.63282,-5.19449,1,98754,1
"2",2,-79.65397,0.9592,1,98754,1
"3",3,-78.895548,-6.591956,0,94434,0.956254936508901
"4",4,-78.805594,-6.373871,1,98754,1
"5",5,-76.491111,-7.228056,1,98754,1
"6",6,-76.112905,-5.900772,0,97923,0.991585150981226
"7",7,-76.04732,-8.968845,1,98754,1
"8",8,-75.997544,-9.166672,1,98754,1
"9",9,-75.987027,-9.37783,1,98754,1
"10",10,-75.70537,-9.338978,1,98754,1
"11",11,-73.827843,-12.520314,0,98751,0.999969621483687
"12",12,-73.251633,-3.743673,1,98754,1
"13",13,-73.134699,-12.75572,0,98698,0.999432934362152
"14",14,-72.614288,-12.735741,1,98754,1
"15",15,-72.279309,-12.681124,1,98754,1
"16",16,-72.044594,-13.105302,0,96066,0.972780849383316
"17",17,-71.967463,-13.53195,0,98036,0.992729408429026
"18",18,-69.1833326,-12.5999976,1,98754,1
"19",19,-67.058698,-10.076392,1,98754,1
"20",20,-64.868305,-24.231028,0,96103,0.97315551775118
"21",21,-64.4719,-23.642765,1,98754,1
"22",22,-64.305034,-23.978054,0,93837,0.950209611762561
"23",23,-60.021731,-3.119028,0,94887,0.960842092472204
"24",24,-56.096823,-15.60086,0,97570,0.988010612228365
"25",25,-56.08516,-13.821054,1,98754,1
"26",26,-56.024998,-5.179103,1,98754,1
"27",27,-55.415717,-7.038894,1,98754,1
"28",28,-52.058244,-1.618627,0,97907,0.991423132227555
"29",29,-51.432111,-0.216389,0,86332,0.874212690118881
"30",30,-50.355943,-5.91929,1,98754,1
"31",31,-49.327687,-5.134735,0,89699,0.908307511594467
"32",32,-47.876062,-12.620142,0,92487,0.936539279421593
"33",33,-47.810324,-21.170401,0,89037,0.90160398566134
"34",34,-47.601977,-0.798955,1,98754,1
"35",35,-39.065366,-16.444354,1,98754,1
