"","replicate","ev_long","ev_lat","perform","vol","proportion"
"1",1,-50.355943,-5.91929,0.333333333333333,20.1060177232943,0.997670700646174
"2",2,-52.058244,-1.618627,1,18.9883981824327,0.942213857539176
"3",3,-56.096823,-15.60086,1,19.5341519756548,0.969294434944288
"4",4,-56.08516,-13.821054,1,20.1170440579272,0.99821783291026
"5",5,-39.065366,-16.444354,1,20.5222400685657,1.01832386252767
"6",6,-47.810324,-21.170401,1,19.615911316461,0.973351374510794
"7",7,-60.021731,-3.119028,0,17.8088027750603,0.883681740799379
"8",8,-55.415717,-7.038894,1,20.3049920534466,1.00754390687257
"9",9,-56.024998,-5.179103,1,19.8928808996846,0.987094744379219
"10",10,-47.876062,-12.620142,0.333333333333333,19.0296490067629,0.944260744166755
"11",11,-67.058698,-10.076392,0.666666666666667,20.5174840200256,1.01808786500969
"12",12,-51.432111,-0.216389,0.333333333333333,18.4772517183607,0.916850513193135
"13",13,-47.601977,-0.798955,1,19.9438633162299,0.989624517501643
"14",14,-49.327687,-5.134735,0.666666666666667,19.4984713177013,0.967523942770754
"15",15,-79.65397,0.9592,1,20.0301622575248,0.99390671432508
"16",16,-69.1833326,-12.5999976,1,20.5148089932115,1.01795512883524
"17",17,-78.805594,-6.373871,1,20.2998862360411,1.00729055364776
"18",18,-78.895548,-6.591956,0.333333333333333,18.0144772207292,0.893887410123834
"19",19,-71.967463,-13.53195,0.333333333333333,18.0949953454491,0.897882759924553
"20",20,-73.251633,-3.743673,1,20.0208526734063,0.993444768084011
"21",21,-76.112905,-5.900772,1,20.563420924295,1.02036727727813
"22",22,-72.614288,-12.735741,1,20.5625152852707,1.02032233901475
"23",23,-72.044594,-13.105302,1,19.5175267281862,0.968469481812411
"24",24,-73.827843,-12.520314,1,20.1334621465872,0.999032506717979
"25",25,-72.279309,-12.681124,1,20.416808045273,1.01309227256309
"26",26,-73.134699,-12.75572,1,20.2835576517519,1.00648032109188
"27",27,-76.491111,-7.228056,1,20.6918903362838,1.02674199404374
"28",28,-75.70537,-9.338978,1,20.4428823438453,1.01438609235791
"29",29,-76.04732,-8.968845,1,20.2249003156463,1.00356971460502
"30",30,-75.997544,-9.166672,1,20.3789867818136,1.01121556246892
"31",31,-75.987027,-9.37783,0.666666666666667,20.2197258290866,1.00331295398227
"32",32,-80.63282,-5.19449,1,20.3501786738406,1.00978608967817
"33",33,-64.4719,-23.642765,1,19.4137946925731,0.963322246090557
"34",34,-64.868305,-24.231028,0.666666666666667,18.3891051501906,0.912476636195903
"35",35,-64.305034,-23.978054,0.333333333333333,18.4186804259454,0.913944176237405
